question_type,question,answer
information,What is Activated Charcoal ?,
how effective is it,How effective is Activated Charcoal ?,
how does it work,What is the action of Activated Charcoal and how does it work ?,
precautions,Are there safety concerns or special precautions about Activated Charcoal ?,
interactions with medications,Are there interactions between Activated Charcoal and other medications ?,
interactions with herbs and supplements,Are there interactions between Activated Charcoal and herbs and supplements ?,
interactions with foods,Are there interactions between Activated Charcoal and foods ?,
dose,What is the dosage of Activated Charcoal ?,
information,What is Alfalfa ?,
how effective is it,How effective is Alfalfa ?,
how does it work,What is the action of Alfalfa and how does it work ?,
precautions,Are there safety concerns or special precautions about Alfalfa ?,
interactions with medications,Are there interactions between Alfalfa and other medications ?,
interactions with herbs and supplements,Are there interactions between Alfalfa and herbs and supplements ?,
interactions with foods,Are there interactions between Alfalfa and foods ?,
dose,What is the dosage of Alfalfa ?,
information,What is American ginseng ?,
how effective is it,How effective is American ginseng ?,
how does it work,What is the action of American ginseng and how does it work ?,
precautions,Are there safety concerns or special precautions about American ginseng ?,
interactions with medications,Are there interactions between American ginseng and other medications ?,
interactions with herbs and supplements,Are there interactions between American ginseng and herbs and supplements ?,
interactions with foods,Are there interactions between American ginseng and foods ?,
dose,What is the dosage of American ginseng ?,
information,What is Arnica ?,
how effective is it,How effective is Arnica ?,
how does it work,What is the action of Arnica and how does it work ?,
precautions,Are there safety concerns or special precautions about Arnica ?,
interactions with medications,Are there interactions between Arnica and other medications ?,
interactions with herbs and supplements,Are there interactions between Arnica and herbs and supplements ?,
interactions with foods,Are there interactions between Arnica and foods ?,
dose,What is the dosage of Arnica ?,
information,What is Ashwagandha ?,
how effective is it,How effective is Ashwagandha ?,
how does it work,What is the action of Ashwagandha and how does it work ?,
precautions,Are there safety concerns or special precautions about Ashwagandha ?,
interactions with medications,Are there interactions between Ashwagandha and other medications ?,
interactions with herbs and supplements,Are there interactions between Ashwagandha and herbs and supplements ?,
interactions with foods,Are there interactions between Ashwagandha and foods ?,
dose,What is the dosage of Ashwagandha ?,
information,What is Bacillus coagulans ?,
how effective is it,How effective is Bacillus coagulans ?,
how does it work,What is the action of Bacillus coagulans and how does it work ?,
precautions,Are there safety concerns or special precautions about Bacillus coagulans ?,
interactions with medications,Are there interactions between Bacillus coagulans and other medications ?,
interactions with herbs and supplements,Are there interactions between Bacillus coagulans and herbs and supplements ?,
interactions with foods,Are there interactions between Bacillus coagulans and foods ?,
dose,What is the dosage of Bacillus coagulans ?,
information,What is Bee Pollen ?,
how effective is it,How effective is Bee Pollen ?,
how does it work,What is the action of Bee Pollen and how does it work ?,
precautions,Are there safety concerns or special precautions about Bee Pollen ?,
interactions with medications,Are there interactions between Bee Pollen and other medications ?,
interactions with herbs and supplements,Are there interactions between Bee Pollen and herbs and supplements ?,
interactions with foods,Are there interactions between Bee Pollen and foods ?,
dose,What is the dosage of Bee Pollen ?,
information,What is Belladonna ?,
how effective is it,How effective is Belladonna ?,
how does it work,What is the action of Belladonna and how does it work ?,
precautions,Are there safety concerns or special precautions about Belladonna ?,
interactions with medications,Are there interactions between Belladonna and other medications ?,
interactions with herbs and supplements,Are there interactions between Belladonna and herbs and supplements ?,
interactions with foods,Are there interactions between Belladonna and foods ?,
dose,What is the dosage of Belladonna ?,
information,What is Berberine ?,
how effective is it,How effective is Berberine ?,
how does it work,What is the action of Berberine and how does it work ?,
precautions,Are there safety concerns or special precautions about Berberine ?,
interactions with medications,Are there interactions between Berberine and other medications ?,
interactions with herbs and supplements,Are there interactions between Berberine and herbs and supplements ?,
interactions with foods,Are there interactions between Berberine and foods ?,
dose,What is the dosage of Berberine ?,
information,What is Beta-carotene ?,
how effective is it,How effective is Beta-carotene ?,
how does it work,What is the action of Beta-carotene and how does it work ?,
precautions,Are there safety concerns or special precautions about Beta-carotene ?,
interactions with medications,Are there interactions between Beta-carotene and other medications ?,
interactions with herbs and supplements,Are there interactions between Beta-carotene and herbs and supplements ?,
interactions with foods,Are there interactions between Beta-carotene and foods ?,
dose,What is the dosage of Beta-carotene ?,
information,What is Bifidobacteria ?,
how effective is it,How effective is Bifidobacteria ?,
how does it work,What is the action of Bifidobacteria and how does it work ?,
precautions,Are there safety concerns or special precautions about Bifidobacteria ?,
interactions with medications,Are there interactions between Bifidobacteria and other medications ?,
interactions with herbs and supplements,Are there interactions between Bifidobacteria and herbs and supplements ?,
interactions with foods,Are there interactions between Bifidobacteria and foods ?,
dose,What is the dosage of Bifidobacteria ?,
information,What is Biotin ?,
how effective is it,How effective is Biotin ?,
how does it work,What is the action of Biotin and how does it work ?,
precautions,Are there safety concerns or special precautions about Biotin ?,
interactions with medications,Are there interactions between Biotin and other medications ?,
interactions with herbs and supplements,Are there interactions between Biotin and herbs and supplements ?,
interactions with foods,Are there interactions between Biotin and foods ?,
dose,What is the dosage of Biotin ?,
information,What is Bitter Melon ?,
how effective is it,How effective is Bitter Melon ?,
how does it work,What is the action of Bitter Melon and how does it work ?,
precautions,Are there safety concerns or special precautions about Bitter Melon ?,
interactions with medications,Are there interactions between Bitter Melon and other medications ?,
interactions with herbs and supplements,Are there interactions between Bitter Melon and herbs and supplements ?,
interactions with foods,Are there interactions between Bitter Melon and foods ?,
dose,What is the dosage of Bitter Melon ?,
information,What is Black psyllium ?,
how effective is it,How effective is Black psyllium ?,
how does it work,What is the action of Black psyllium and how does it work ?,
precautions,Are there safety concerns or special precautions about Black psyllium ?,
interactions with medications,Are there interactions between Black psyllium and other medications ?,
interactions with herbs and supplements,Are there interactions between Black psyllium and herbs and supplements ?,
interactions with foods,Are there interactions between Black psyllium and foods ?,
dose,What is the dosage of Black psyllium ?,
information,What is Black tea ?,
how effective is it,How effective is Black tea ?,
how does it work,What is the action of Black tea and how does it work ?,
precautions,Are there safety concerns or special precautions about Black tea ?,
interactions with medications,Are there interactions between Black tea and other medications ?,
interactions with herbs and supplements,Are there interactions between Black tea and herbs and supplements ?,
interactions with foods,Are there interactions between Black tea and foods ?,
dose,What is the dosage of Black tea ?,
information,What is Bladderwrack ?,
how effective is it,How effective is Bladderwrack ?,
how does it work,What is the action of Bladderwrack and how does it work ?,
precautions,Are there safety concerns or special precautions about Bladderwrack ?,
interactions with medications,Are there interactions between Bladderwrack and other medications ?,
interactions with herbs and supplements,Are there interactions between Bladderwrack and herbs and supplements ?,
interactions with foods,Are there interactions between Bladderwrack and foods ?,
dose,What is the dosage of Bladderwrack ?,
information,What is Blessed thistle ?,
how effective is it,How effective is Blessed thistle ?,
how does it work,What is the action of Blessed thistle and how does it work ?,
precautions,Are there safety concerns or special precautions about Blessed thistle ?,
interactions with medications,Are there interactions between Blessed thistle and other medications ?,
interactions with herbs and supplements,Are there interactions between Blessed thistle and herbs and supplements ?,
interactions with foods,Are there interactions between Blessed thistle and foods ?,
dose,What is the dosage of Blessed thistle ?,
information,What is Blond psyllium ?,
how effective is it,How effective is Blond psyllium ?,
how does it work,What is the action of Blond psyllium and how does it work ?,
precautions,Are there safety concerns or special precautions about Blond psyllium ?,
interactions with medications,Are there interactions between Blond psyllium and other medications ?,
interactions with herbs and supplements,Are there interactions between Blond psyllium and herbs and supplements ?,
interactions with foods,Are there interactions between Blond psyllium and foods ?,
dose,What is the dosage of Blond psyllium ?,
information,What is Blueberry ?,
how effective is it,How effective is Blueberry ?,
how does it work,What is the action of Blueberry and how does it work ?,
precautions,Are there safety concerns or special precautions about Blueberry ?,
interactions with medications,Are there interactions between Blueberry and other medications ?,
interactions with herbs and supplements,Are there interactions between Blueberry and herbs and supplements ?,
interactions with foods,Are there interactions between Blueberry and foods ?,
dose,What is the dosage of Blueberry ?,
information,What is Blue-green algae ?,
how effective is it,How effective is Blue-green algae ?,
how does it work,What is the action of Blue-green algae and how does it work ?,
precautions,Are there safety concerns or special precautions about Blue-green algae ?,
interactions with medications,Are there interactions between Blue-green algae and other medications ?,
interactions with herbs and supplements,Are there interactions between Blue-green algae and herbs and supplements ?,
interactions with foods,Are there interactions between Blue-green algae and foods ?,
dose,What is the dosage of Blue-green algae ?,
information,What is Boron ?,
how effective is it,How effective is Boron ?,
how does it work,What is the action of Boron and how does it work ?,
precautions,Are there safety concerns or special precautions about Boron ?,
interactions with medications,Are there interactions between Boron and other medications ?,
interactions with herbs and supplements,Are there interactions between Boron and herbs and supplements ?,
interactions with foods,Are there interactions between Boron and foods ?,
dose,What is the dosage of Boron ?,
information,What is Calendula ?,
how effective is it,How effective is Calendula ?,
how does it work,What is the action of Calendula and how does it work ?,
precautions,Are there safety concerns or special precautions about Calendula ?,
interactions with medications,Are there interactions between Calendula and other medications ?,
interactions with herbs and supplements,Are there interactions between Calendula and herbs and supplements ?,
interactions with foods,Are there interactions between Calendula and foods ?,
dose,What is the dosage of Calendula ?,
information,What is Cannabidiol ?,
how effective is it,How effective is Cannabidiol ?,
how does it work,What is the action of Cannabidiol and how does it work ?,
precautions,Are there safety concerns or special precautions about Cannabidiol ?,
interactions with medications,Are there interactions between Cannabidiol and other medications ?,
interactions with herbs and supplements,Are there interactions between Cannabidiol and herbs and supplements ?,
interactions with foods,Are there interactions between Cannabidiol and foods ?,
dose,What is the dosage of Cannabidiol ?,
information,What is Capsicum ?,
how effective is it,How effective is Capsicum ?,
how does it work,What is the action of Capsicum and how does it work ?,
precautions,Are there safety concerns or special precautions about Capsicum ?,
interactions with medications,Are there interactions between Capsicum and other medications ?,
interactions with herbs and supplements,Are there interactions between Capsicum and herbs and supplements ?,
interactions with foods,Are there interactions between Capsicum and foods ?,
dose,What is the dosage of Capsicum ?,
information,What is Cascara ?,
how effective is it,How effective is Cascara ?,
how does it work,What is the action of Cascara and how does it work ?,
precautions,Are there safety concerns or special precautions about Cascara ?,
interactions with medications,Are there interactions between Cascara and other medications ?,
interactions with herbs and supplements,Are there interactions between Cascara and herbs and supplements ?,
interactions with foods,Are there interactions between Cascara and foods ?,
dose,What is the dosage of Cascara ?,
information,What is Chondroitin sulfate ?,
how effective is it,How effective is Chondroitin sulfate ?,
how does it work,What is the action of Chondroitin sulfate and how does it work ?,
precautions,Are there safety concerns or special precautions about Chondroitin sulfate ?,
interactions with medications,Are there interactions between Chondroitin sulfate and other medications ?,
interactions with herbs and supplements,Are there interactions between Chondroitin sulfate and herbs and supplements ?,
interactions with foods,Are there interactions between Chondroitin sulfate and foods ?,
dose,What is the dosage of Chondroitin sulfate ?,
information,What is Clove ?,
how effective is it,How effective is Clove ?,
how does it work,What is the action of Clove and how does it work ?,
precautions,Are there safety concerns or special precautions about Clove ?,
interactions with medications,Are there interactions between Clove and other medications ?,
interactions with herbs and supplements,Are there interactions between Clove and herbs and supplements ?,
interactions with foods,Are there interactions between Clove and foods ?,
dose,What is the dosage of Clove ?,
information,What is Coconut Oil ?,
how effective is it,How effective is Coconut Oil ?,
how does it work,What is the action of Coconut Oil and how does it work ?,
precautions,Are there safety concerns or special precautions about Coconut Oil ?,
interactions with medications,Are there interactions between Coconut Oil and other medications ?,
interactions with herbs and supplements,Are there interactions between Coconut Oil and herbs and supplements ?,
interactions with foods,Are there interactions between Coconut Oil and foods ?,
dose,What is the dosage of Coconut Oil ?,
information,What is Coconut Water ?,
how effective is it,How effective is Coconut Water ?,
how does it work,What is the action of Coconut Water and how does it work ?,
precautions,Are there safety concerns or special precautions about Coconut Water ?,
interactions with medications,Are there interactions between Coconut Water and other medications ?,
interactions with herbs and supplements,Are there interactions between Coconut Water and herbs and supplements ?,
interactions with foods,Are there interactions between Coconut Water and foods ?,
dose,What is the dosage of Coconut Water ?,
information,What is Cod Liver Oil ?,
how effective is it,How effective is Cod Liver Oil ?,
how does it work,What is the action of Cod Liver Oil and how does it work ?,
precautions,Are there safety concerns or special precautions about Cod Liver Oil ?,
interactions with medications,Are there interactions between Cod Liver Oil and other medications ?,
interactions with herbs and supplements,Are there interactions between Cod Liver Oil and herbs and supplements ?,
interactions with foods,Are there interactions between Cod Liver Oil and foods ?,
dose,What is the dosage of Cod Liver Oil ?,
information,What is Creatine ?,
how effective is it,How effective is Creatine ?,
how does it work,What is the action of Creatine and how does it work ?,
precautions,Are there safety concerns or special precautions about Creatine ?,
interactions with medications,Are there interactions between Creatine and other medications ?,
interactions with herbs and supplements,Are there interactions between Creatine and herbs and supplements ?,
interactions with foods,Are there interactions between Creatine and foods ?,
dose,What is the dosage of Creatine ?,
information,What is Deer Velvet ?,
how effective is it,How effective is Deer Velvet ?,
how does it work,What is the action of Deer Velvet and how does it work ?,
precautions,Are there safety concerns or special precautions about Deer Velvet ?,
interactions with medications,Are there interactions between Deer Velvet and other medications ?,
interactions with herbs and supplements,Are there interactions between Deer Velvet and herbs and supplements ?,
interactions with foods,Are there interactions between Deer Velvet and foods ?,
dose,What is the dosage of Deer Velvet ?,
information,What is Devil's claw ?,
how effective is it,How effective is Devil's claw ?,
how does it work,What is the action of Devil's claw and how does it work ?,
precautions,Are there safety concerns or special precautions about Devil's claw ?,
interactions with medications,Are there interactions between Devil's claw and other medications ?,
interactions with herbs and supplements,Are there interactions between Devil's claw and herbs and supplements ?,
interactions with foods,Are there interactions between Devil's claw and foods ?,
dose,What is the dosage of Devil's claw ?,
information,What is DHEA ?,
how effective is it,How effective is DHEA ?,
how does it work,What is the action of DHEA and how does it work ?,
precautions,Are there safety concerns or special precautions about DHEA ?,
interactions with medications,Are there interactions between DHEA and other medications ?,
interactions with herbs and supplements,Are there interactions between DHEA and herbs and supplements ?,
interactions with foods,Are there interactions between DHEA and foods ?,
dose,What is the dosage of DHEA ?,
information,What is Dong quai ?,
how effective is it,How effective is Dong quai ?,
how does it work,What is the action of Dong quai and how does it work ?,
precautions,Are there safety concerns or special precautions about Dong quai ?,
interactions with medications,Are there interactions between Dong quai and other medications ?,
interactions with herbs and supplements,Are there interactions between Dong quai and herbs and supplements ?,
interactions with foods,Are there interactions between Dong quai and foods ?,
dose,What is the dosage of Dong quai ?,
information,What is Eucalyptus ?,
how effective is it,How effective is Eucalyptus ?,
how does it work,What is the action of Eucalyptus and how does it work ?,
precautions,Are there safety concerns or special precautions about Eucalyptus ?,
interactions with medications,Are there interactions between Eucalyptus and other medications ?,
interactions with herbs and supplements,Are there interactions between Eucalyptus and herbs and supplements ?,
interactions with foods,Are there interactions between Eucalyptus and foods ?,
dose,What is the dosage of Eucalyptus ?,
information,What is Folic acid ?,
how effective is it,How effective is Folic acid ?,
how does it work,What is the action of Folic acid and how does it work ?,
precautions,Are there safety concerns or special precautions about Folic acid ?,
interactions with medications,Are there interactions between Folic acid and other medications ?,
interactions with herbs and supplements,Are there interactions between Folic acid and herbs and supplements ?,
interactions with foods,Are there interactions between Folic acid and foods ?,
dose,What is the dosage of Folic acid ?,
information,What is Gelatin ?,
how effective is it,How effective is Gelatin ?,
how does it work,What is the action of Gelatin and how does it work ?,
precautions,Are there safety concerns or special precautions about Gelatin ?,
interactions with medications,Are there interactions between Gelatin and other medications ?,
interactions with herbs and supplements,Are there interactions between Gelatin and herbs and supplements ?,
interactions with foods,Are there interactions between Gelatin and foods ?,
dose,What is the dosage of Gelatin ?,
information,"What is Ginseng, Siberian ?",
how effective is it,"How effective is Ginseng, Siberian ?",
how does it work,"What is the action of Ginseng, Siberian and how does it work ?",
precautions,"Are there safety concerns or special precautions about Ginseng, Siberian ?",
interactions with medications,"Are there interactions between Ginseng, Siberian and other medications ?",
interactions with herbs and supplements,"Are there interactions between Ginseng, Siberian and herbs and supplements ?",
interactions with foods,"Are there interactions between Ginseng, Siberian and foods ?",
dose,"What is the dosage of Ginseng, Siberian ?",
information,What is Glucosamine hydrochloride ?,
how effective is it,How effective is Glucosamine hydrochloride ?,
how does it work,What is the action of Glucosamine hydrochloride and how does it work ?,
precautions,Are there safety concerns or special precautions about Glucosamine hydrochloride ?,
interactions with medications,Are there interactions between Glucosamine hydrochloride and other medications ?,
interactions with herbs and supplements,Are there interactions between Glucosamine hydrochloride and herbs and supplements ?,
interactions with foods,Are there interactions between Glucosamine hydrochloride and foods ?,
dose,What is the dosage of Glucosamine hydrochloride ?,
information,What is Glucosamine sulfate ?,
how effective is it,How effective is Glucosamine sulfate ?,
how does it work,What is the action of Glucosamine sulfate and how does it work ?,
precautions,Are there safety concerns or special precautions about Glucosamine sulfate ?,
interactions with medications,Are there interactions between Glucosamine sulfate and other medications ?,
interactions with herbs and supplements,Are there interactions between Glucosamine sulfate and herbs and supplements ?,
interactions with foods,Are there interactions between Glucosamine sulfate and foods ?,
dose,What is the dosage of Glucosamine sulfate ?,
information,What is Goji ?,
how effective is it,How effective is Goji ?,
how does it work,What is the action of Goji and how does it work ?,
precautions,Are there safety concerns or special precautions about Goji ?,
interactions with medications,Are there interactions between Goji and other medications ?,
interactions with herbs and supplements,Are there interactions between Goji and herbs and supplements ?,
interactions with foods,Are there interactions between Goji and foods ?,
dose,What is the dosage of Goji ?,
information,What is Grape ?,
how effective is it,How effective is Grape ?,
how does it work,What is the action of Grape and how does it work ?,
precautions,Are there safety concerns or special precautions about Grape ?,
interactions with medications,Are there interactions between Grape and other medications ?,
interactions with herbs and supplements,Are there interactions between Grape and herbs and supplements ?,
interactions with foods,Are there interactions between Grape and foods ?,
dose,What is the dosage of Grape ?,
information,What is Grapefruit ?,
how effective is it,How effective is Grapefruit ?,
how does it work,What is the action of Grapefruit and how does it work ?,
precautions,Are there safety concerns or special precautions about Grapefruit ?,
interactions with medications,Are there interactions between Grapefruit and other medications ?,
interactions with herbs and supplements,Are there interactions between Grapefruit and herbs and supplements ?,
interactions with foods,Are there interactions between Grapefruit and foods ?,
dose,What is the dosage of Grapefruit ?,
information,What is Green Coffee ?,
how effective is it,How effective is Green Coffee ?,
how does it work,What is the action of Green Coffee and how does it work ?,
precautions,Are there safety concerns or special precautions about Green Coffee ?,
interactions with medications,Are there interactions between Green Coffee and other medications ?,
interactions with herbs and supplements,Are there interactions between Green Coffee and herbs and supplements ?,
interactions with foods,Are there interactions between Green Coffee and foods ?,
dose,What is the dosage of Green Coffee ?,
information,What is Guarana ?,
how effective is it,How effective is Guarana ?,
how does it work,What is the action of Guarana and how does it work ?,
precautions,Are there safety concerns or special precautions about Guarana ?,
interactions with medications,Are there interactions between Guarana and other medications ?,
interactions with herbs and supplements,Are there interactions between Guarana and herbs and supplements ?,
interactions with foods,Are there interactions between Guarana and foods ?,
dose,What is the dosage of Guarana ?,
information,What is Gymnema ?,
how effective is it,How effective is Gymnema ?,
how does it work,What is the action of Gymnema and how does it work ?,
precautions,Are there safety concerns or special precautions about Gymnema ?,
interactions with medications,Are there interactions between Gymnema and other medications ?,
interactions with herbs and supplements,Are there interactions between Gymnema and herbs and supplements ?,
interactions with foods,Are there interactions between Gymnema and foods ?,
dose,What is the dosage of Gymnema ?,
information,What is Hibiscus ?,
how effective is it,How effective is Hibiscus ?,
how does it work,What is the action of Hibiscus and how does it work ?,
precautions,Are there safety concerns or special precautions about Hibiscus ?,
interactions with medications,Are there interactions between Hibiscus and other medications ?,
interactions with herbs and supplements,Are there interactions between Hibiscus and herbs and supplements ?,
interactions with foods,Are there interactions between Hibiscus and foods ?,
dose,What is the dosage of Hibiscus ?,
information,What is Honey ?,
how effective is it,How effective is Honey ?,
how does it work,What is the action of Honey and how does it work ?,
precautions,Are there safety concerns or special precautions about Honey ?,
interactions with medications,Are there interactions between Honey and other medications ?,
interactions with herbs and supplements,Are there interactions between Honey and herbs and supplements ?,
interactions with foods,Are there interactions between Honey and foods ?,
dose,What is the dosage of Honey ?,
information,What is Hops ?,
how effective is it,How effective is Hops ?,
how does it work,What is the action of Hops and how does it work ?,
precautions,Are there safety concerns or special precautions about Hops ?,
interactions with medications,Are there interactions between Hops and other medications ?,
